CRASH_NUM,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,REAL_LON,REAL_LAT,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND
C-47,159168,20186529420,2.01865E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,9/22/2018 21:44,None,9/22/2018 22:38,LAWRENCE ST / 21ST ST,31432500,16996390,-1049905176,397532115,-1049905176,397532115,6,612,Five Points,0,1
C-48,156846,20185918250,2.01859E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,8/29/2018 21:37,None,8/29/2018 21:38,W 17TH AVE / N FEDERAL BLVD,31335110,16962140,-1050252183,397439541,-1050252183,397439541,1,121,West Colfax,0,1
C-49,159972,20186870930,2.01869E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,10/6/2018 21:02,None,10/6/2018 21:51,1600 BLOCK S SANTA FE DR,31429810,16756190,-104991952,396872759,-104991952,396872759,3,313,Overland,0,1
C-50,161323,20186854850,2.01869E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,10/6/2018 2:13,None,10/6/2018 3:46,N BROADWAY ST / E 10TH AVE,31441690,16919330,-1049874038,39732043,-1049874038,39732043,6,611,Civic Center,0,0
C-51,161263,20186819070,2.01868E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,10/4/2018 16:17,None,10/4/2018 17:27,W COLFAX AVE / N OSAGE ST,31391370,16948600,-1050052381,397401547,-1050052381,397401547,1,123,Lincoln Park,0,0
C-52,160500,20187015530,2.0187E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,10/12/2018 23:26,None,10/13/2018 1:19,N YORK ST / E 27TH AVE,31518920,17006070,-1049597617,397557317,-1049597617,397557317,2,211,Whittier,0,0
C-53,162343,20187548410,2.01875E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,11/4/2018 21:49,None,11/4/2018 21:49,I25 HWYNB / W 48TH AVE,31435700,17108780,-1049891547,397840593,-1049891547,397840593,1,112,Globeville,0,0
C-54,162504,20185861440,2.01859E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,8/27/2018 19:20,None,8/27/2018 20:00,7200 BLOCK E YALE AVE,31677310,16685880,-1049041751,396675614,-1049041751,396675614,3,323,Hampden,0,0
C-55,163896,20187973800,2.0188E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,11/24/2018 2:46,None,11/24/2018 3:28,S SANTA FE DR / W HARVARD AVE,31421030,16697310,-104995188,396711254,-104995188,396711254,3,313,Overland,0,0
C-56,163914,20187987560,2.0188E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,11/24/2018 20:33,None,11/24/2018 21:55,4800 BLOCK W HAMPDEN AVE,31279840,16632630,-1050454589,396535737,-1050454589,396535737,4,423,Fort Logan,1,0
C-57,165977,20188563390,2.01886E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,12/20/2018 10:18,None,12/20/2018 12:04,S BROADWAY ST / E IOWA AVE,31442290,16757340,-1049875153,396875724,-1049875153,396875724,3,313,Overland,0,0
C-58,167152,2019129090,2.01913E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/6/2019 20:47,None,1/6/2019 20:47,5100 BLOCK N FEDERAL BLVD,31334560,17130500,-1050251009,397901724,-1050251009,397901724,1,111,Chaffee Park,0,1
C-59,168156,2019425400,2.01943E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/19/2019 11:15,None,1/19/2019 19:27,W COLFAX AVE / 7TH ST,31391370,16948600,-1050052381,397401547,-1050052381,397401547,1,123,Lincoln Park,0,0
C-60,169569,2019838060,2.01984E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/6/2019 11:55,None,2/6/2019 11:55,1700 BLOCK S DOWNING ST,31482960,16750270,-1049730791,396855676,-1049730791,396855676,3,313,University,0,0
C-61,167460,20188368250,2.01884E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,12/11/2018 17:08,None,12/11/2018 18:22,3300 BLOCK N ZUNI ST,31362920,17034930,-1050151907,397638959,-1050151907,397638959,1,113,Highland,1,0
C-62,166876,201946000,2.01946E+017,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/3/2019 6:46,None,1/3/2019 9:19,W COLFAX AVE / N IRVING ST,31322120,16948870,-105029862,397403298,-105029862,397403298,1,122,West Colfax,0,1
C-63,172225,20191576280,2.01916E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/12/2019 6:55,None,3/12/2019 7:37,5440 N ROSLYN ST,31691620,17155310,-104897987,397964021,-104897987,397964021,5,511,Stapleton,0,1
C-64,171363,20191170140,2.01912E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/21/2019 18:34,None,2/21/2019 18:36,S QUEBEC ST / E CEDAR PL,31678290,16851240,-1049034413,397129545,-1049034413,397129545,3,321,Lowry Field,0,0
C-65,172606,20191796440,2.01918E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/21/2019 21:15,None,3/21/2019 21:36,4100 BLOCK W COLFAX AVE,31291480,16947480,-1050407597,397399912,-1050407597,397399912,1,122,West Colfax,0,1
C-66,172763,20191774060,2.01918E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/20/2019 21:17,None,3/20/2019 22:15,3100 BLOCK N WILLIAMS ST,31501640,17025700,-1049658665,397611485,-1049658665,397611485,2,211,Whittier,0,1
C-67,170110,20187949020,2.01879E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,11/22/2018 20:12,None,11/22/2018 20:12,N QUEBEC ST / E MLK BLVD,31677080,17027790,-1049034593,397614226,-1049034593,397614226,2,221,North Park Hill,0,3
C-68,171103,20191011690,2.0191E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/14/2019 12:53,None,2/14/2019 13:20,E MISSISSIPPI AVE / S VALENTIA ST,31711640,16791840,-1048917286,396965873,-1048917286,396965873,3,321,Windsor,0,0
C-69,171188,20191247620,2.01912E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/25/2019 13:38,None,2/25/2019 16:40,4300 BLOCK N ZENOBIA ST,31259600,17074600,-1050518728,397749316,-1050518728,397749316,1,111,Berkeley,0,0
C-70,170125,2019770130,2.01977E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/3/2019 13:25,None,2/3/2019 17:32,9661 W STETSON PL,31109310,16559910,-1051061346,396338286,-1051061346,396338286,4,423,Marston,0,1
